"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00008905","02","01","01","2","","","","","","","","","","","12",839
"00008906","06","03","03","1","2","2","1","2","1","2","01","1","1","2","04",173
"00008907","01","00","01","2","","","","","","","","","","","29",659
"00008908","07","02","05","1","2","2","1","1","1","1","","1","2","2","23",1575
"00008909","08","00","08","2","","","","","","","","","","","13",327
"00008910","03","01","02","1","1","1","1","1","1","1","","1","1","1","06",219
"00008911","08","04","04","1","2","2","1","2","1","2","05","2","1","1","24",3084
"00008912","05","04","01","1","2","1","1","2","1","1","","2","2","2","19",2941
"00008913","07","05","02","1","1","1","1","2","1","1","","3","1","2","04",230
"00008914","02","00","02","2","","","","","","","","","","","11",1679
"00008915","02","01","01","2","","","","","","","","","","","15",4670
"00008916","04","02","02","1","2","2","2","2","1","2","01","1","1","1","27",962
"00008917","02","01","01","2","","","","","","","","","","","17",527
"00008918","04","01","03","1","2","1","1","2","1","1","","1","1","2","01",496
"00008919","04","03","01","1","2","2","1","1","1","1","","2","1","3","01",818
"00008920","02","00","02","2","","","","","","","","","","","17",474
"00008921","09","05","04","1","2","2","2","2","1","2","01","2","2","2","17",343
"00008922","04","02","02","1","2","2","2","2","1","2","02","1","1","1","07",1375
"00008923","07","04","03","1","2","2","1","1","1","1","","1","2","2","16",4401
"00008924","05","04","01","1","2","2","1","2","1","1","","1","1","1","26",715
"00008925","02","01","01","2","","","","","","","","","","","15",4670
"00008926","01","00","01","2","","","","","","","","","","","07",2512
"00008927","02","02","00","2","","","","","","","","","","","12",876
"00008928","04","02","02","2","","","","","","","","","","","22",418
"00008929","06","04","02","1","2","2","1","2","1","2","01","1","1","2","27",218
"00008930","05","03","02","1","2","2","1","2","1","1","","1","2","2","26",1038
"00008931","05","02","03","1","1","2","1","2","1","1","","1","1","1","30",5661
"00008932","05","02","03","1","1","1","1","1","1","1","","3","2","4","13",1012
"00008933","05","02","03","1","2","2","1","2","1","1","","1","1","1","28",751
"00008934","05","02","03","1","2","1","2","1","1","1","","1","1","3","12",833
"00008935","04","03","01","1","2","2","2","2","1","2","06","1","1","1","03",1081
"00008936","06","02","04","1","2","1","1","2","1","1","","1","1","1","18",630
"00008937","03","02","01","1","2","1","1","2","1","1","","1","1","1","26",695
"00008938","06","01","05","1","1","2","1","2","1","1","","1","1","1","09",6388
"00008939","04","02","02","1","2","1","1","2","1","1","","1","1","1","04",401
